,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan
222,James Rodríguez,Midfielder,31,13.0,Qatar,Stars League,Al-Rayyan SC,Greece,Super League 1,Olympiacos Piraeus,0,False
223,Calvin Stengs,Forward,23,13.0,France,Ligue 1,OGC Nice,Belgium,Jupiler Pro League,Royal Antwerp FC,0,True
224,Ethan Ampadu,Defender,21,13.0,England,Premier League,Chelsea FC,Italy,Serie A,Spezia Calcio,0,True
225,Roméo Lavia,Midfielder,18,2.0,England,Premier League 2,Manchester City U21,England,Premier League,Southampton FC,12.3,False
226,Pau López,Goalkeeper,27,12.0,Italy,Serie A,AS Roma,France,Ligue 1,Olympique Marseille,12.0,False
227,Marc Roca,Midfielder,25,7.0,Germany,Bundesliga,Bayern Munich,England,Premier League,Leeds United,12.0,False
228,Alexis Beka Beka,Midfielder,21,3.0,Russia,Premier Liga,Lokomotiv Moscow,France,Ligue 1,OGC Nice,12.0,False
229,Stanley Nsoki,Defender,23,7.0,Belgium,Jupiler Pro League,Club Brugge KV,Germany,Bundesliga,TSG 1899 Hoffenheim,12.0,False
230,Chris Richards,Defender,22,7.5,Germany,Bundesliga,Bayern Munich,England,Premier League,Crystal Palace,12.0,False
231,Agustín Álvarez,Forward,21,4.0,Uruguay,Primera División Clausura,CA Peñarol,Italy,Serie A,US Sassuolo,12.0,False
232,Luís Maximiano,Goalkeeper,23,12.0,Spain,LaLiga2,Granada CF,Italy,Serie A,SS Lazio,10.26,False
233,Gabriel Veron,Forward,19,12.0,Brazil,Série A,Sociedade Esportiva Palmeiras,Portugal,Liga Portugal,FC Porto,10.25,False
234,Willian José,Forward,30,12.0,Spain,LaLiga,Real Sociedad,Spain,LaLiga,Real Betis Balompié,10.0,False
235,Owen Wijndal,Defender,22,12.0,Netherlands,Eredivisie,AZ Alkmaar,Netherlands,Eredivisie,Ajax Amsterdam,10.0,False
236,Marko Grujic,Midfielder,26,12.0,England,Premier League,Liverpool FC,Portugal,Liga Portugal,FC Porto,9.0,False
237,Samuele Ricci,Midfielder,20,12.0,Italy,Serie A,FC Empoli,Italy,Serie A,Torino FC,8.5,False
238,Billy Gilmour,Midfielder,21,12.0,England,Premier League,Chelsea FC,England,Premier League,Brighton & Hove Albion,8.33,False
239,Luiz Henrique,Forward,21,12.0,Brazil,Série A,Fluminense Football Club,Spain,LaLiga,Real Betis Balompié,8.0,False
240,Angelo Fulgini,Midfielder,25,12.0,France,Ligue 1,Angers SCO,Germany,Bundesliga,1.FSV Mainz 05,6.0,False
241,Fábio Carvalho,Midfielder,19,12.0,England,Premier League,Fulham FC,England,Premier League,Liverpool FC,5.9,False
242,João Pedro,Forward,30,12.0,Italy,Serie B,Cagliari Calcio,Turkey,Süper Lig,Fenerbahce,4.68,False
243,Idrissa Gueye,Midfielder,32,12.0,France,Ligue 1,Paris Saint-Germain,England,Premier League,Everton FC,4.0,False
244,Sérgio Oliveira,Midfielder,30,12.0,Portugal,Liga Portugal,FC Porto,Turkey,Süper Lig,Galatasaray,3.0,False
245,Maxi Gómez,Forward,26,12.0,Spain,LaLiga,Valencia CF,Turkey,Süper Lig,Trabzonspor,3.0,False
246,Andrea Petagna,Forward,27,12.0,Italy,Serie A,SSC Napoli,Italy,Serie A,AC Monza,2.5,True
247,Boulaye Dia,Forward,25,12.0,Spain,LaLiga,Villarreal CF,Italy,Serie A,US Salernitana 1919,1.0,True
248,Krzysztof Piatek,Forward,27,12.0,Germany,Bundesliga,Hertha BSC,Italy,Serie A,US Salernitana 1919,1.0,True
249,Razvan Marin,Midfielder,26,12.0,Italy,Serie B,Cagliari Calcio,Italy,Serie A,FC Empoli,1.0,True
250,Divock Origi,Forward,27,12.0,England,Premier League,Liverpool FC,Italy,Serie A,AC Milan,0,False
251,André Onana,Goalkeeper,26,12.0,Netherlands,Eredivisie,Ajax Amsterdam,Italy,Serie A,Inter Milan,0,False
252,Marcos Alonso,Defender,31,12.0,England,Premier League,Chelsea FC,Spain,LaLiga,FC Barcelona,0,False
253,Clément Lenglet,Defender,27,12.0,Spain,LaLiga,FC Barcelona,England,Premier League,Tottenham Hotspur,0,True
254,Adnan Januzaj,Forward,27,12.0,Spain,LaLiga,Real Sociedad,Spain,LaLiga,Sevilla FC,0,False
255,Ángel Di María,Forward,34,12.0,France,Ligue 1,Paris Saint-Germain,Italy,Serie A,Juventus FC,0,False
256,Loïc Badé,Defender,22,12.0,France,Ligue 1,Stade Rennais FC,England,Premier League,Nottingham Forest,0,True
257,Sam Johnstone,Goalkeeper,29,12.0,England,Championship,West Bromwich Albion,England,Premier League,Crystal Palace,0,False
258,Taty Castellanos,Forward,23,12.0,United States,MLS,New York City FC,Spain,LaLiga,Girona FC,0,True
259,Marcus Tavernier,Midfielder,23,4.5,England,Championship,Middlesbrough FC,England,Premier League,AFC Bournemouth,11.9,False
260,Julio Enciso,Forward,18,11.0,Paraguay,Primera División Clausura,Club Libertad Asunción,England,Premier League,Brighton & Hove Albion,11.6,False
261,Joshua Zirkzee,Forward,21,11.0,Germany,Bundesliga,Bayern Munich,Italy,Serie A,Bologna FC 1909,8.5,False
262,Matheus Henrique,Midfielder,24,11.0,Brazil,Série B,Grêmio Foot-Ball Porto Alegrense,Italy,Serie A,US Sassuolo,7.0,False
263,Nicolás Tagliafico,Defender,29,11.0,Netherlands,Eredivisie,Ajax Amsterdam,France,Ligue 1,Olympique Lyon,4.2,False
264,Mady Camara,Midfielder,25,11.0,Greece,Super League 1,Olympiacos Piraeus,Italy,Serie A,AS Roma,1.5,True
265,Flynn Downes,Midfielder,23,2.0,Wales,Championship,Swansea City,England,Premier League,West Ham United,10.65,False
266,Gabriel Sara,Midfielder,23,6.5,Brazil,Série A,São Paulo Futebol Clube,England,Championship,Norwich City,10.5,False
267,James Garner,Midfielder,21,7.0,England,Premier League 2,Manchester United U21,England,Premier League,Everton FC,10.4,False
268,Armel Bella-Kotchap,Defender,20,10.0,Germany,Bundesliga,VfL Bochum,England,Premier League,Southampton FC,11.0,False
269,Jakub Kaminski,Forward,20,10.0,Poland,Ekstraklasa,Lech Poznan,Germany,Bundesliga,VfL Wolfsburg,10.0,False
270,Luis Suárez,Forward,24,9.0,Spain,LaLiga2,Granada CF,France,Ligue 1,Olympique Marseille,10.0,False
271,Rúben Vinagre,Defender,23,5.0,England,Premier League,Wolverhampton Wanderers,Portugal,Liga Portugal,Sporting CP,10.0,False
272,Giulian Biancone,Defender,22,4.0,France,Ligue 1,ESTAC Troyes,England,Premier League,Nottingham Forest,10.0,False
273,Junya Ito,Forward,29,7.5,Belgium,Jupiler Pro League,KRC Genk,France,Ligue 1,Stade Reims,10.0,False
274,Borja Mayoral,Forward,25,9.0,Spain,LaLiga,Real Madrid,Spain,LaLiga,Getafe CF,10.0,False
275,Ademola Lookman,Forward,24,10.0,Germany,Bundesliga,RB Leipzig,Italy,Serie A,Atalanta BC,9.2,False
276,Guglielmo Vicario,Goalkeeper,25,10.0,Italy,Serie B,Cagliari Calcio,Italy,Serie A,FC Empoli,8.5,False
277,Rolando Mandragora,Midfielder,25,10.0,Italy,Serie A,Juventus FC,Italy,Serie A,ACF Fiorentina,8.2,False
278,Joe Aribo,Midfielder,25,10.0,Scotland,Premiership,Rangers FC,England,Premier League,Southampton FC,7.1,False
279,Beto,Forward,24,10.0,Portugal,Liga Portugal,Portimonense SC,Italy,Serie A,Udinese Calcio,7.0,False
280,Ozan Kabak,Defender,22,10.0,Germany,Bundesliga,FC Schalke 04,Germany,Bundesliga,TSG 1899 Hoffenheim,7.0,False
281,Gianluca Caprari,Forward,28,10.0,Italy,Serie A,UC Sampdoria,Italy,Serie A,Hellas Verona,5.0,False
282,Kristjan Asllani,Midfielder,20,10.0,Italy,Serie A,FC Empoli,Italy,Serie A,Inter Milan,4.5,True
283,Wilfried Gnonto,Forward,18,10.0,Switzerland,Super League,FC Zürich,England,Premier League,Leeds United,4.5,False
284,Mahmoud Trezeguet,Forward,27,10.0,England,Premier League,Aston Villa,Turkey,Süper Lig,Trabzonspor,4.0,False
285,Hugo Duro,Forward,22,10.0,Spain,LaLiga,Getafe CF,Spain,LaLiga,Valencia CF,4.0,False
286,Michy Batshuayi,Forward,28,10.0,England,Premier League,Chelsea FC,Turkey,Süper Lig,Fenerbahce,3.5,False
287,Gianluca Caprari,Forward,28,10.0,Italy,Serie A,Hellas Verona,Italy,Serie A,AC Monza,3.2,True
288,Mario Götze,Midfielder,30,10.0,Netherlands,Eredivisie,PSV Eindhoven,Germany,Bundesliga,Eintracht Frankfurt,3.0,False
289,Léo Dubois,Defender,27,10.0,France,Ligue 1,Olympique Lyon,Turkey,Süper Lig,Galatasaray,2.5,False
290,Aster Vranckx,Midfielder,19,10.0,Germany,Bundesliga,VfL Wolfsburg,Italy,Serie A,AC Milan,2.0,True
291,Alexander Sørloth,Forward,26,10.0,Germany,Bundesliga,RB Leipzig,Spain,LaLiga,Real Sociedad,1.5,True
292,Mathias Normann,Midfielder,26,10.0,Russia,Premier Liga,FK Rostov,Russia,Premier Liga,Dynamo Moscow,1.0,True
293,Aleksey Miranchuk,Midfielder,26,10.0,Italy,Serie A,Atalanta BC,Italy,Serie A,Torino FC,980k,True
294,Pierluigi Gollini,Goalkeeper,27,10.0,Italy,Serie A,Atalanta BC,Italy,Serie A,ACF Fiorentina,490k,True
295,Stefan Posch,Defender,25,10.0,Germany,Bundesliga,TSG 1899 Hoffenheim,Italy,Serie A,Bologna FC 1909,400k,True
296,Alessio Cragno,Goalkeeper,28,10.0,Italy,Serie B,Cagliari Calcio,Italy,Serie A,AC Monza,400k,True
297,Manu Sánchez,Defender,21,10.0,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga,CA Osasuna,200k,True
298,Serhou Guirassy,Forward,26,10.0,France,Ligue 1,Stade Rennais FC,Germany,Bundesliga,VfB Stuttgart,0,True
299,Ivan Perisic,Midfielder,33,10.0,Italy,Serie A,Inter Milan,England,Premier League,Tottenham Hotspur,0,False
300,Allan,Midfielder,31,10.0,England,Premier League,Everton FC,United Arab Emirates,UAE Pro League,Al-Wahda FC Abu Dhabi,0,False
301,Ainsley Maitland-Niles,Midfielder,25,10.0,England,Premier League,Arsenal FC,England,Premier League,Southampton FC,0,True
302,Amine Harit,Midfielder,25,10.0,Germany,Bundesliga,FC Schalke 04,France,Ligue 1,Olympique Marseille,0,True
303,Ander Herrera,Midfielder,33,10.0,France,Ligue 1,Paris Saint-Germain,Spain,LaLiga,Athletic Bilbao,0,True
304,Alex Mowatt,Midfielder,27,10.0,England,Championship,West Bromwich Albion,England,Championship,Middlesbrough FC,0,True
305,Cyle Larin,Forward,27,10.0,Turkey,Süper Lig,Besiktas JK,Belgium,Jupiler Pro League,Club Brugge KV,0,False
306,Nicolò Rovella,Midfielder,20,10.0,Italy,Serie A,Juventus FC,Italy,Serie A,AC Monza,0,True
307,Federico Bernardeschi,Forward,28,10.0,Italy,Serie A,Juventus FC,Canada,MLS,Toronto FC,0,False
308,Loïs Openda,Forward,22,7.5,Belgium,Jupiler Pro League,Club Brugge KV,France,Ligue 1,RC Lens,9.8,False
309,Cucho Hernández,Forward,23,9.0,England,Championship,Watford FC,United States,MLS,Columbus Crew,9.55,False
310,João Victor,Defender,23,8.0,Brazil,Série A,Sport Club Corinthians Paulista,Portugal,Liga Portugal,SL Benfica,9.5,False
311,Ahmetcan Kaplan,Defender,19,2.8,Turkey,Süper Lig,Trabzonspor,Netherlands,Eredivisie,Ajax Amsterdam,9.5,False
312,Andreas Pereira,Midfielder,26,7.5,England,Premier League,Manchester United,England,Premier League,Fulham FC,9.5,False
313,José Manuel López,Forward,21,8.0,Argentina,Liga Profesional,Club Atlético Lanús,Brazil,Série A,Sociedade Esportiva Palmeiras,9.5,False
314,Miralem Pjanic,Midfielder,32,9.5,Spain,LaLiga,FC Barcelona,United Arab Emirates,UAE Pro League,Sharjah FC,0,False
315,Lewis O'Brien,Midfielder,23,3.5,England,Championship,Huddersfield Town,England,Premier League,Nottingham Forest,9.4,False
316,Alphonse Areola,Goalkeeper,29,8.0,France,Ligue 1,Paris Saint-Germain,England,Premier League,West Ham United,9.3,False
317,Gabriel Slonina,Goalkeeper,18,3.0,United States,MLS,Chicago Fire FC,England,Premier League,Chelsea FC,9.09,False
318,Christopher Wooh,Defender,20,3.0,France,Ligue 1,RC Lens,France,Ligue 1,Stade Rennais FC,9.0,False
319,Andrea Colpani,Midfielder,23,2.4,Italy,Serie A,Atalanta BC,Italy,Serie A,AC Monza,9.0,False
320,Jhon Lucumí,Defender,24,9.0,Belgium,Jupiler Pro League,KRC Genk,Italy,Serie A,Bologna FC 1909,8.0,False
321,Andreas Cornelius,Forward,29,9.0,Turkey,Süper Lig,Trabzonspor,Denmark,Superligaen,FC Copenhagen,6.0,False
322,Adam Buksa,Forward,25,9.0,United States,MLS,New England Revolution,France,Ligue 1,RC Lens,6.0,False
323,Kevin Mbabu,Defender,27,9.0,Germany,Bundesliga,VfL Wolfsburg,England,Premier League,Fulham FC,5.5,False
324,Bernd Leno,Goalkeeper,30,9.0,England,Premier League,Arsenal FC,England,Premier League,Fulham FC,3.6,False
325,Kristijan Jakic,Midfielder,25,9.0,Croatia,SuperSport HNL,GNK Dinamo Zagreb,Germany,Bundesliga,Eintracht Frankfurt,3.5,False
326,Anwar El Ghazi,Forward,27,9.0,England,Premier League,Aston Villa,Netherlands,Eredivisie,PSV Eindhoven,2.5,False
327,Predrag Rajkovic,Goalkeeper,26,9.0,France,Ligue 1,Stade Reims,Spain,LaLiga,RCD Mallorca,2.0,False
328,Nikola Moro,Midfielder,24,9.0,Russia,Premier Liga,Dynamo Moscow,Italy,Serie A,Bologna FC 1909,1.5,True
329,Ricardo Pepi,Forward,19,9.0,Germany,Bundesliga,FC Augsburg,Netherlands,Eredivisie,FC Groningen,500k,True
330,Luca Pellegrini,Defender,23,9.0,Italy,Serie A,Juventus FC,Germany,Bundesliga,Eintracht Frankfurt,0,True
331,Jean-Philippe Gbamin,Midfielder,26,9.0,England,Premier League,Everton FC,Turkey,Süper Lig,Trabzonspor,0,True
332,Freddie Woodman,Goalkeeper,25,9.0,England,Premier League,Newcastle United,England,Championship,Preston North End,0,False
333,Óscar Rodríguez,Midfielder,24,9.0,Spain,LaLiga,Sevilla FC,Spain,LaLiga,Celta de Vigo,0,True
334,Unai Núñez,Defender,25,9.0,Spain,LaLiga,Athletic Bilbao,Spain,LaLiga,Celta de Vigo,0,True
335,Ilaix Moriba,Midfielder,19,9.0,Germany,Bundesliga,RB Leipzig,Spain,LaLiga,Valencia CF,0,True
336,Rafinha,Midfielder,29,9.0,France,Ligue 1,Paris Saint-Germain,Qatar,Stars League,Al-Arabi SC,0,False
337,Portu,Forward,30,9.0,Spain,LaLiga,Real Sociedad,Spain,LaLiga,Getafe CF,0,True
338,Paco Alcácer,Forward,28,9.0,Spain,LaLiga,Villarreal CF,United Arab Emirates,UAE Pro League,Sharjah FC,0,False
339,Ritsu Doan,Forward,24,8.0,Netherlands,Eredivisie,PSV Eindhoven,Germany,Bundesliga,SC Freiburg,8.5,False
340,Omar Richards,Defender,24,7.0,Germany,Bundesliga,Bayern Munich,England,Premier League,Nottingham Forest,8.5,False
341,Giulio Maggiore,Midfielder,24,8.5,Italy,Serie A,Spezia Calcio,Italy,Serie A,US Salernitana 1919,4.5,False
342,Jens Petter Hauge,Forward,22,8.0,Italy,Serie A,AC Milan,Germany,Bundesliga,Eintracht Frankfurt,8.2,False
343,Nathan Ngoumou,Forward,22,2.5,France,Ligue 1,FC Toulouse,Germany,Bundesliga,Borussia Mönchengladbach,8.0,False
344,Alexander Bah,Defender,24,7.0,Czech Republic,Fortuna Liga,SK Slavia Prague,Portugal,Liga Portugal,SL Benfica,8.0,False
345,André Almeida,Midfielder,22,5.0,Portugal,Liga Portugal,Vitória Guimarães SC,Spain,LaLiga,Valencia CF,8.0,False
346,Simon Adingra,Forward,20,1.5,Denmark,Superligaen,FC Nordsjaelland,England,Premier League,Brighton & Hove Albion,8.0,False
347,El Bilal Touré,Forward,20,6.5,France,Ligue 1,Stade Reims,Spain,LaLiga,UD Almería,8.0,False
348,Marcos Antônio,Midfielder,22,8.0,Ukraine,Premier Liga,Shakhtar Donetsk,Italy,Serie A,SS Lazio,7.5,False
349,Kaiky,Defender,18,8.0,Brazil,Série A,Santos FC,Spain,LaLiga,UD Almería,7.0,False
350,Lucas Alario,Forward,29,8.0,Germany,Bundesliga,Bayer 04 Leverkusen,Germany,Bundesliga,Eintracht Frankfurt,6.0,False
351,Patrick Wimmer,Forward,21,8.0,Germany,2. Bundesliga,Arminia Bielefeld,Germany,Bundesliga,VfL Wolfsburg,5.0,False
352,Flavius Daniliuc,Defender,21,8.0,France,Ligue 1,OGC Nice,Italy,Serie A,US Salernitana 1919,5.0,False
353,Francisco Conceição,Forward,19,8.0,Portugal,Liga Portugal,FC Porto,Netherlands,Eredivisie,Ajax Amsterdam,5.0,False
354,Anders Dreyer,Forward,24,8.0,Russia,1.Division,Rubin Kazan,Denmark,Superligaen,FC Midtjylland,5.0,False
355,Carlos Vinícius,Forward,27,8.0,Portugal,Liga Portugal,SL Benfica,England,Premier League,Fulham FC,5.0,False
356,Denis Bouanga,Forward,27,8.0,France,Ligue 2,AS Saint-Étienne,United States,MLS,Los Angeles FC,4.55,False
357,Enis Bardhi,Midfielder,27,8.0,Spain,LaLiga2,Levante UD,Turkey,Süper Lig,Trabzonspor,3.0,False
358,Kastriot Imeri,Midfielder,22,8.0,Switzerland,Super League,Servette FC,Switzerland,Super League,BSC Young Boys,3.0,False
359,Moi Gómez,Forward,28,8.0,Spain,LaLiga,Villarreal CF,Spain,LaLiga,CA Osasuna,1.8,False
360,Haris Seferovic,Forward,30,8.0,Portugal,Liga Portugal,SL Benfica,Turkey,Süper Lig,Galatasaray,1.0,True
361,Malang Sarr,Defender,23,8.0,England,Premier League,Chelsea FC,Monaco,Ligue 1,AS Monaco,1.0,True
362,Domingos Duarte,Defender,27,8.0,Spain,LaLiga2,Granada CF,Spain,LaLiga,Getafe CF,750k,False
363,Alejandro Pozuelo,Midfielder,30,8.0,Canada,MLS,Toronto FC,United States,MLS,Inter Miami CF,136k,False
364,Jordan Larsson,Forward,25,8.0,Russia,Premier Liga,Spartak Moscow,Germany,Bundesliga,FC Schalke 04,0,False
365,Joshua King,Forward,30,8.0,England,Championship,Watford FC,Turkey,Süper Lig,Fenerbahce,0,False
366,Henrikh Mkhitaryan,Midfielder,33,8.0,Italy,Serie A,AS Roma,Italy,Serie A,Inter Milan,0,False
367,Romain Saïss,Defender,32,8.0,England,Premier League,Wolverhampton Wanderers,Turkey,Süper Lig,Besiktas JK,0,False
368,Jens Petter Hauge,Forward,22,8.0,Germany,Bundesliga,Eintracht Frankfurt,Belgium,Jupiler Pro League,KAA Gent,0,True
369,Christos Tzolis,Forward,20,8.0,England,Championship,Norwich City,Netherlands,Eredivisie,Twente Enschede FC,0,True
370,Abde Ezzalzouli,Forward,20,8.0,Spain,LaLiga,FC Barcelona,Spain,LaLiga,CA Osasuna,0,True
371,Kacper Kozlowski,Midfielder,18,8.0,England,Premier League,Brighton & Hove Albion,Netherlands,Eredivisie,Vitesse Arnhem,0,True
372,Cédric Bakambu,Forward,31,8.0,France,Ligue 1,Olympique Marseille,Greece,Super League 1,Olympiacos Piraeus,0,False
373,Zinho Vanheusden,Defender,22,8.0,Italy,Serie A,Inter Milan,Netherlands,Eredivisie,AZ Alkmaar,0,True
374,Isaac Hayden,Midfielder,27,8.0,England,Premier League,Newcastle United,England,Championship,Norwich City,0,True
375,Abdallah Sima,Forward,21,8.0,England,Premier League,Brighton & Hove Albion,France,Ligue 1,Angers SCO,0,True
376,Pol Lirola,Defender,24,8.0,France,Ligue 1,Olympique Marseille,Spain,LaLiga,Elche CF,0,True
377,Marco Carnesecchi,Goalkeeper,22,8.0,Italy,Serie A,Atalanta BC,Italy,Serie A,US Cremonese,0,True
378,Djibril Sidibé,Defender,30,8.0,Monaco,Ligue 1,AS Monaco,Greece,Super League 1,AEK Athens,0,False
379,Munir El Haddadi,Forward,26,8.0,Spain,LaLiga,Sevilla FC,Spain,LaLiga,Getafe CF,0,False
380,Reinier,Midfielder,20,8.0,Spain,LaLiga,Real Madrid,Spain,LaLiga,Girona FC,0,True
381,Bartol Franjic,Midfielder,22,4.5,Croatia,SuperSport HNL,GNK Dinamo Zagreb,Germany,Bundesliga,VfL Wolfsburg,7.5,False
382,Jota,Forward,23,7.5,Portugal,Liga Portugal,SL Benfica,Scotland,Premiership,Celtic FC,7.5,False
383,Nicolò Casale,Defender,24,7.5,Italy,Serie A,Hellas Verona,Italy,Serie A,SS Lazio,6.56,False
384,Takefusa Kubo,Forward,21,7.5,Spain,LaLiga,Real Madrid,Spain,LaLiga,Real Sociedad,6.5,False
385,Guus Til,Midfielder,24,7.5,Russia,Premier Liga,Spartak Moscow,Netherlands,Eredivisie,PSV Eindhoven,3.0,False
386,Ezgjan Alioski,Defender,30,7.5,Saudi Arabia,Without League,Al-Ahli SFC,Turkey,Süper Lig,Fenerbahce,0,True
387,Isco,Midfielder,30,7.5,Spain,LaLiga,Real Madrid,Spain,LaLiga,Sevilla FC,0,False
388,Grischa Prömel,Midfielder,27,7.5,Germany,Bundesliga,1.FC Union Berlin,Germany,Bundesliga,TSG 1899 Hoffenheim,0,False
389,Alexandru Cicaldau,Midfielder,25,7.5,Turkey,Süper Lig,Galatasaray,United Arab Emirates,UAE Pro League,Al-Ittihad Kalba SC,0,True
390,Quinten Timber,Midfielder,21,4.0,Netherlands,Eredivisie,FC Utrecht,Netherlands,Eredivisie,Feyenoord Rotterdam,7.4,False
391,Armand Laurienté,Forward,23,7.0,France,Ligue 1,FC Lorient,Italy,Serie A,US Sassuolo,10.1,False
392,Perr Schuurs,Defender,22,7.0,Netherlands,Eredivisie,Ajax Amsterdam,Italy,Serie A,Torino FC,9.4,False
393,Vedat Muriqi,Forward,28,7.0,Italy,Serie A,SS Lazio,Spain,LaLiga,RCD Mallorca,8.02,False
394,Cameron Carter-Vickers,Defender,24,7.0,England,Premier League,Tottenham Hotspur,Scotland,Premiership,Celtic FC,7.0,False
395,Matteo Lovato,Defender,22,7.0,Italy,Serie A,Atalanta BC,Italy,Serie A,US Salernitana 1919,7.0,False
396,Strahinja Pavlovic,Defender,21,5.0,Monaco,Ligue 1,AS Monaco,Austria,Bundesliga,Red Bull Salzburg,7.0,False
397,Lázaro,Forward,20,7.0,Brazil,Série A,CR Flamengo,Spain,LaLiga,UD Almería,7.0,False
398,Aaron Boupendza,Forward,26,7.0,Qatar,Stars League,Al-Arabi SC,Saudi Arabia,Saudi Pro League,Al-Shabab FC,7.0,False
399,Samuel Lino,Forward,22,7.0,Portugal,Liga Portugal,Gil Vicente FC,Spain,LaLiga,Atlético de Madrid,6.5,False
400,Jordan,Forward,26,7.0,Switzerland,Super League,BSC Young Boys,Germany,Bundesliga,1.FC Union Berlin,6.0,False
401,Giuliano Galoppo,Midfielder,23,7.0,Argentina,Liga Profesional,CA Banfield,Brazil,Série A,São Paulo Futebol Clube,6.0,False
402,Jorge Carrascal,Midfielder,24,7.0,Argentina,Liga Profesional,CA River Plate,Russia,Premier Liga,CSKA Moscow,6.0,False
403,Luan Peres,Defender,28,7.0,France,Ligue 1,Olympique Marseille,Turkey,Süper Lig,Fenerbahce,5.23,False
404,Ui-jo Hwang,Forward,29,7.0,France,Ligue 2,FC Girondins Bordeaux,England,Premier League,Nottingham Forest,4.0,False
